barley_sr,wheat_sr,wheat_seedlings_june,wheat_biomass_june,wheat_biomass_aug,wheat_yield,barley_seedlings_june,barley_biomass_june,barley_biomass_aug,barley_yield
0,50,40,0.88,5.33,2.11,,,,
0,100,75,1.44,5.98,2.24,,,,
0,200,163,2.27,6.23,2.27,,,,
0,400,299,3.18,7.65,2.8,,,,
50,0,,,,,49,1.95,6.72,3.4
50,50,37,0.47,1.59,0.58,47,2.09,5.69,2.83
50,100,58,0.62,2.84,1.05,47,1.72,4.63,2.32
50,200,158,1.77,3.55,1.33,49,1.54,3.63,1.84
50,400,303,2.22,6.11,2.16,41,0.91,2.47,1.24
100,0,,,,,115,3.88,7.85,4.05
100,50,27,0.26,1.21,0.48,89,2.86,6.97,3.5
100,100,81,0.7,2.09,0.8,85,2.48,2.37,2.06
100,200,148,1.2,3.67,1.4,83,2.37,4.98,2.55
100,400,295,2.1,4.8,1.7,91,2.06,3.6,1.77
200,0,,,,,152,3.35,7.54,3.86
200,50,33,0.17,0.68,0.26,163,3.47,8.7,4.33
200,100,62,0.39,1.22,0.48,163,3.55,7.79,3.99
200,200,161,1.04,2.35,0.83,193,3.67,7.12,3.57
200,400,339,1.63,3.57,1.27,199,3.08,5.15,2.57
400,0,,,,,331,4.66,9.27,4.75
400,50,40,0.16,0.35,0.13,353,4.57,8.55,4.42
400,100,69,0.27,0.8,0.3,351,4.65,8.95,4.5
400,200,147,0.63,1.5,0.57,351,4.4,6.94,3.59
400,400,353,1.23,2.45,0.87,394,4.02,6.59,3.3
